Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Approved,total_applicant_income
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,False,6091.0
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,True,3000.0
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,True,4941.0
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,True,6000.0
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,True,9613.0
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,True,3849.0
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,False,5540.0
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,True,5532.0
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,False,23809.0
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,True,3900.0
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,True,4340.0
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,True,11179.0
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,False,4693.0
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,True,2385.0
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,True,4950.0
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,True,3596.0
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,False,3510.0
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,False,4887.0
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,False,7660.0
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,True,11580.0
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,False,4511.0
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,False,6642.0
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,True,9560.0
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,True,5052.0
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,True,5266.0
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,False,1442.0
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,True,5833.0
Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,False,7535.0
Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,False,3167.0
Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,False,4692.0
Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,True,5167.0
Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,False,15500.0
Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,True,5126.0
Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,True,11376.0
Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,True,5416.0
Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,False,3600.0
Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,True,3013.0
Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,True,2400.0
Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,True,6277.0
Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,True,5649.0
